ID,Name,Country,City,Corners,Length,Laps
0,Albert Park Grand Prix Circuit,Australia,Melbourne,14,5.278,58
1,Circuit of the Americas,USA,Austin,20,5.513,57
2,Bahrain International Circuit,Bahrain,Sakhir,15,5.412,56
3,Baku City Circuit,Azerbaijan,Baku,20,6.003,51
4,Circuit de Barcelona-Catalunya,Spain,Barcelona,16,4.657,66
5,Hockenheimring,Germany,Hockenheim,17,4.574,78
6,Hungaroring,Hungary,Budapest,14,4.909,70
7,Autodromo Jose Carlos Pace,Brazil,Sao Paulo,0,0,53
8,Marina Bay Street Circuit,Singapore,Marina Bay,0,0,71
9,Circuit de Monaco,Monaco,Monte Carlo,0,0,52
10,Autodromo Nazionale di Monza,Italy,Monza,0,0,67
11,Red Bull Ring,Austria,Spielberg,0,0,70
12,Circuit Paul Ricard,France,Le Castellet,0,0,44
13,Autodromo Hermanos Rodriguez,Mexico,Mexico City,0,0,53
14,Shanghai International Circuit,China,Shanghai,0,0,61
15,Silverstone Circuit,UK,Silverstone,0,0,53
16,Sochi Autodrom,Russia,Sochi,0,0,53
17,Circuit de Spa-Francorchamps,Belgium,Spa,0,0,56
18,Suzuka Circuit,Japan,Suzuka,0,0,71
19,Circuit Gilles Villeneuve,Canada,Montreal,0,0,71
20,Yas Marina Circuit,UAE,Abu Dhabi,0,0,55
21,Autodromo Enzo e Dino Ferrari,Italy,Imola,0,0,52
22,Istanbul Park,Turkey,Istanbul,0,0,52
23,Autodromo Internazionale del Mugello,Italy,Mugello,0,0,44
24,Nurburgring,Germany,Nurburg,0,0,53
25,Autodromo Internacional do Algarve,Portugal,Portimao,0,0,59
26,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,0,0,71
27,Losail International Circuit,Qatar,Al Daayen,0,0,52
28,Miami International Autodrome,USA,Miami,0,0,71
29,Circuit Park Zandvoort,Netherlands,Zandvoort,0,0,58
30,Las Vegas Strip Street Circuit,USA,Las Vegas,0,0,71
