Year,Team,Points,Position,RaceOfTheSeason
2018,Mercedes,655.0,1,21
2018,Ferrari,571.0,2,21
2018,Red Bull,419.0,3,21
2018,Renault,122.0,4,21
2018,Force India,111.0,5,21
2018,Haas F1 Team,93.0,6,21
2018,McLaren,62.0,7,21
2018,Sauber,48.0,8,21
2018,Toro Rosso,33.0,9,21
2018,Williams,7.0,10,21
2019,Mercedes,739.0,1,21
2019,Ferrari,504.0,2,21
2019,Red Bull,417.0,3,21
2019,McLaren,145.0,4,21
2019,Renault,91.0,5,21
2019,Toro Rosso,85.0,6,21
2019,Racing Point,73.0,7,21
2019,Alfa Romeo,57.0,8,21
2019,Haas F1 Team,28.0,9,21
2019,Williams,1.0,10,21
2020,Mercedes,573.0,1,17
2020,Red Bull,319.0,2,17
2020,McLaren,202.0,3,17
2020,Racing Point,195.0,4,17
2020,Renault,181.0,5,17
2020,Ferrari,131.0,6,17
2020,AlphaTauri,107.0,7,17
2020,Alfa Romeo,8.0,8,17
2020,Haas F1 Team,3.0,9,17
2020,Williams,0.0,10,17
2021,Mercedes,613.5,1,22
2021,Red Bull,585.5,2,22
2021,Ferrari,323.5,3,22
2021,McLaren,275.0,4,22
2021,Alpine F1 Team,155.0,5,22
2021,AlphaTauri,142.0,6,22
2021,Aston Martin,77.0,7,22
2021,Williams,23.0,8,22
2021,Alfa Romeo,13.0,9,22
2021,Haas F1 Team,0.0,10,22
2022,Red Bull,759.0,1,22
2022,Ferrari,554.0,2,22
2022,Mercedes,515.0,3,22
2022,Alpine F1 Team,173.0,4,22
2022,McLaren,159.0,5,22
2022,Alfa Romeo,55.0,6,22
2022,Aston Martin,55.0,7,22
2022,Haas F1 Team,37.0,8,22
2022,AlphaTauri,35.0,9,22
2022,Williams,8.0,10,22
2023,Red Bull,860.0,1,22
2023,Mercedes,409.0,2,22
2023,Ferrari,406.0,3,22
2023,McLaren,302.0,4,22
2023,Aston Martin,280.0,5,22
2023,Alpine F1 Team,120.0,6,22
2023,Williams,28.0,7,22
2023,AlphaTauri,25.0,8,22
2023,Alfa Romeo,16.0,9,22
2023,Haas F1 Team,12.0,10,22
2024,McLaren,666.0,1,24
2024,Ferrari,652.0,2,24
2024,Red Bull,589.0,3,24
2024,Mercedes,468.0,4,24
2024,Aston Martin,94.0,5,24
2024,Alpine F1 Team,65.0,6,24
2024,Haas F1 Team,58.0,7,24
2024,RB F1 Team,46.0,8,24
2024,Williams,17.0,9,24
2024,Sauber,4.0,10,24
2025,McLaren,756.0,1,22
2025,Mercedes,398.0,2,22
2025,Red Bull,366.0,3,22
2025,Ferrari,362.0,4,22
2025,Williams,111.0,5,22
2025,RB F1 Team,82.0,6,22
2025,Aston Martin,72.0,7,22
2025,Haas F1 Team,70.0,8,22
2025,Sauber,62.0,9,22
2025,Alpine F1 Team,22.0,10,22
